TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
0,Albania,855,811,12,138,143,69,61,378,10,0,0,0,0,0
0,Algieria,66,57,0,10,6,9,5,27,0,0,0,0,0,0
0,Angola,27,24,1,2,2,4,4,9,2,0,0,0,0,0
0,Azerbejdżan,87,85,3,10,11,3,5,51,2,0,0,0,0,0
0,Argentyna,224,178,2,24,46,36,12,58,0,0,0,0,0,0
0,Australia,4586,4184,41,347,607,719,301,2084,85,0,0,0,0,0
0,Austria,11887,11076,160,1317,1586,2317,863,4538,295,0,0,0,0,0
0,Armenia,111,107,3,19,25,7,3,50,0,0,0,0,0,0
0,Belgia,20979,19570,241,2682,2744,3289,1917,8321,376,0,0,0,0,0
0,Bośnia i Hercegowina,144,139,5,16,18,33,11,51,5,0,0,0,0,0
0,Brazylia,127,96,2,8,17,28,6,32,3,0,0,0,0,0
0,Bułgaria,995,951,15,151,160,109,87,423,6,0,0,0,0,0
0,Białoruś,95,88,2,10,8,32,9,27,0,0,0,0,0,0
0,Kanada,12166,11008,48,547,623,5182,688,3568,352,0,0,0,0,0
0,Chile,149,135,2,19,19,18,9,67,1,0,0,0,0,0
0,Chiny,1327,1207,12,191,214,79,91,613,7,0,0,0,0,0
0,Miasto Tajpej,287,273,4,53,93,21,21,79,2,0,0,0,0,0
0,Kolumbia,105,89,4,10,31,15,3,26,0,0,0,0,0,0
0,Chorwacja,1900,1770,26,308,285,208,125,753,65,0,0,0,0,0
0,Kuba,126,116,1,11,13,13,17,60,1,0,0,0,0,0
0,Cypr,2548,2141,27,330,346,148,147,1135,8,0,0,0,0,0
0,Czechy,3383,3214,39,485,817,311,172,1365,25,0,0,0,0,0
0,Dania,10729,9812,117,1186,2261,946,1048,4121,133,0,0,0,0,0
0,Etiopia,26,21,0,4,3,7,0,7,0,0,0,0,0,0
0,Estonia,224,211,4,30,56,25,17,77,2,0,0,0,0,0
0,Finlandia,1692,1585,21,186,400,126,153,680,19,0,0,0,0,0
0,Francja,20693,18917,165,2190,2887,3840,1144,8350,341,0,0,0,0,0
0,Gruzja,942,904,21,134,141,130,76,388,14,0,0,0,0,0
0,Niemcy,113556,101541,1007,11537,12522,16124,8489,50013,1849,0,0,0,0,0
0,Grecja,5841,4986,75,847,848,528,300,2323,65,0,0,0,0,0
0,Węgry,1919,1736,34,281,338,278,139,643,23,0,0,0,0,0
0,Islandia,6424,5902,125,838,1234,602,919,2094,90,0,0,0,0,0
0,Indie,357,304,3,45,78,13,13,151,1,0,0,0,0,0
0,Indonezja,924,821,11,138,197,25,39,409,2,0,0,0,0,0
0,Iran,36,32,0,4,4,4,3,17,0,0,0,0,0,0
0,Irak,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Irlandia,24822,22764,257,2833,2984,2939,2395,10871,485,0,0,0,0,0
0,Włochy,17489,15642,174,2267,2870,2387,755,6940,249,0,0,0,0,0
0,Kosowo,286,266,7,28,8,91,89,41,2,0,0,0,0,0
0,Japonia,1639,1542,15,207,441,81,84,704,10,0,0,0,0,0
0,Kazachstan,186,177,2,19,14,50,14,74,4,0,0,0,0,0
